,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
931585,15612,2014-06-30 19:46:56,2014-07-01 00:07:08,463,9 Ave & W 16 St,40.74206539,-74.00443172,212,W 16 St & The High Line,40.74334935,-74.00681753,18540,Subscriber,1976,2
935310,12445,2014-06-30 21:53:33,2014-07-01 01:20:58,335,Washington Pl & Broadway,40.72903917,-73.99404649,2022,E 59 St & Sutton Pl,40.75849116,-73.95920622,18821,Customer,\N,0
935358,12310,2014-06-30 21:55:51,2014-07-01 01:21:01,335,Washington Pl & Broadway,40.72903917,-73.99404649,2022,E 59 St & Sutton Pl,40.75849116,-73.95920622,18271,Customer,\N,0
935886,8378,2014-06-30 22:27:55,2014-07-01 00:47:33,466,W 25 St & 6 Ave,40.74395411,-73.99144871,493,W 45 St & 6 Ave,40.7568001,-73.98291153,14763,Customer,\N,0
935994,9517,2014-06-30 22:35:39,2014-07-01 01:14:16,499,Broadway & W 60 St,40.76915505,-73.98191841,499,Broadway & W 60 St,40.76915505,-73.98191841,18926,Customer,\N,0
936158,8705,2014-06-30 22:49:51,2014-07-01 01:14:56,457,Broadway & W 58 St,40.76695317,-73.98169333,499,Broadway & W 60 St,40.76915505,-73.98191841,14607,Customer,\N,0
936184,7201,2014-06-30 22:52:53,2014-07-01 00:52:54,486,Broadway & W 29 St,40.7462009,-73.98855723,532,S 5 Pl & S 4 St,40.710451,-73.960876,15945,Customer,\N,0
936225,4099,2014-06-30 22:56:12,2014-07-01 00:04:31,348,W Broadway & Spring St,40.72490985,-74.00154702,394,E 9 St & Avenue C,40.72521311,-73.97768752,19652,Subscriber,1985,1
936586,2155,2014-06-30 23:26:29,2014-07-01 00:02:24,225,W 14 St & The High Line,40.74195138,-74.00803013,72,W 52 St & 11 Ave,40.76727216,-73.99392888,18360,Subscriber,1973,1
936625,2952,2014-06-30 23:30:13,2014-07-01 00:19:25,3002,South End Ave & Liberty St,40.711512,-74.01575600000001,368,Carmine St & 6 Ave,40.73038599,-74.00214988,14646,Subscriber,1983,2
936632,2017,2014-06-30 23:31:13,2014-07-01 00:04:50,153,E 40 St & 5 Ave,40.752062306999996,-73.9816324043,410,Suffolk St & Stanton St,40.72066442,-73.98517977,18932,Subscriber,1997,2
936635,1854,2014-06-30 23:31:23,2014-07-01 00:02:17,514,12 Ave & W 40 St,40.76087502,-74.00277668,426,West St & Chambers St,40.71754834,-74.01322069,16096,Customer,\N,0
936637,1991,2014-06-30 23:31:29,2014-07-01 00:04:40,153,E 40 St & 5 Ave,40.752062306999996,-73.9816324043,410,Suffolk St & Stanton St,40.72066442,-73.98517977,17252,Subscriber,1989,2
936644,1806,2014-06-30 23:32:01,2014-07-01 00:02:07,514,12 Ave & W 40 St,40.76087502,-74.00277668,426,West St & Chambers St,40.71754834,-74.01322069,14626,Subscriber,1987,1
936656,1891,2014-06-30 23:32:41,2014-07-01 00:04:12,454,E 51 St & 1 Ave,40.75455731,-73.96592976,534,Water - Whitehall Plaza,40.70255065,-74.0127234,20074,Subscriber,1981,1
936665,1624,2014-06-30 23:34:05,2014-07-01 00:01:09,487,E 20 St & FDR Drive,40.73314259,-73.97573881,433,E 13 St & Avenue A,40.72955361,-73.98057249,16340,Subscriber,1979,1
936670,1727,2014-06-30 23:34:28,2014-07-01 00:03:15,173,Broadway & W 49 St,40.76064679,-73.98442659,487,E 20 St & FDR Drive,40.73314259,-73.97573881,19591,Customer,\N,0
936680,1648,2014-06-30 23:35:37,2014-07-01 00:03:05,368,Carmine St & 6 Ave,40.73038599,-74.00214988,314,Cadman Plaza West & Montague St,40.69383,-73.990539,16490,Subscriber,1968,1
936682,2176,2014-06-30 23:36:07,2014-07-01 00:12:23,453,W 22 St & 8 Ave,40.74475148,-73.99915362,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,17518,Subscriber,1957,1
936696,1785,2014-06-30 23:37:18,2014-07-01 00:07:03,426,West St & Chambers St,40.71754834,-74.01322069,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,15192,Subscriber,1943,1
936701,1488,2014-06-30 23:37:46,2014-07-01 00:02:34,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,263,Elizabeth St & Hester St,40.717290000000006,-73.996375,19867,Customer,\N,0
936707,1523,2014-06-30 23:38:19,2014-07-01 00:03:42,497,E 17 St & Broadway,40.73704984,-73.99009296,349,Rivington St & Ridge St,40.71850211,-73.98329859,15486,Subscriber,1992,2
936719,1479,2014-06-30 23:42:06,2014-07-01 00:06:45,368,Carmine St & 6 Ave,40.73038599,-74.00214988,457,Broadway & W 58 St,40.76695317,-73.98169333,17896,Subscriber,1982,1
936730,1184,2014-06-30 23:43:02,2014-07-01 00:02:46,367,E 53 St & Lexington Ave,40.75828065,-73.97069431,514,12 Ave & W 40 St,40.76087502,-74.00277668,18202,Customer,\N,0
936732,2509,2014-06-30 23:43:17,2014-07-01 00:25:06,402,Broadway & E 22 St,40.740343200000005,-73.98955109,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,14793,Subscriber,1963,2
936734,2958,2014-06-30 23:43:22,2014-07-01 00:32:40,2004,6 Ave & Broome St,40.724399,-74.004704,2004,6 Ave & Broome St,40.724399,-74.004704,20886,Customer,\N,0
936738,1658,2014-06-30 23:44:01,2014-07-01 00:11:39,368,Carmine St & 6 Ave,40.73038599,-74.00214988,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,19107,Subscriber,1986,2
936752,1126,2014-06-30 23:46:15,2014-07-01 00:05:01,262,Washington Park,40.69178232,-73.97372989,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,15711,Subscriber,1970,1
936754,919,2014-06-30 23:46:15,2014-07-01 00:01:34,414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,19470,Subscriber,1976,1
936757,1182,2014-06-30 23:46:22,2014-07-01 00:06:04,496,E 16 St & 5 Ave,40.73726186,-73.99238967,237,E 11 St & 2 Ave,40.73047309,-73.98672378,21284,Subscriber,1986,2
936765,1989,2014-06-30 23:47:25,2014-07-01 00:20:34,282,Kent Ave & S 11 St,40.70827295,-73.96834101,389,Broadway & Berry St,40.71044554,-73.96525063,20607,Customer,\N,0
936769,1050,2014-06-30 23:47:52,2014-07-01 00:05:22,335,Washington Pl & Broadway,40.72903917,-73.99404649,405,Washington St & Gansevoort St,40.739323,-74.008119,20932,Customer,\N,0
936770,1963,2014-06-30 23:48:06,2014-07-01 00:20:49,282,Kent Ave & S 11 St,40.70827295,-73.96834101,389,Broadway & Berry St,40.71044554,-73.96525063,20141,Customer,\N,0
936775,787,2014-06-30 23:49:06,2014-07-01 00:02:13,217,Old Fulton St,40.70277159,-73.99383605,313,Washington Ave & Park Ave,40.69610226,-73.96751037,18358,Subscriber,1977,1
936776,789,2014-06-30 23:49:07,2014-07-01 00:02:16,217,Old Fulton St,40.70277159,-73.99383605,313,Washington Ave & Park Ave,40.69610226,-73.96751037,18102,Subscriber,1982,1
936778,964,2014-06-30 23:49:13,2014-07-01 00:05:17,505,6 Ave & W 33 St,40.74901271,-73.98848395,317,E 6 St & Avenue B,40.72453734,-73.98185424,16365,Subscriber,1988,1
936785,729,2014-06-30 23:49:30,2014-07-01 00:01:39,285,Broadway & E 14 St,40.73454567,-73.99074142,355,Bayard St & Baxter St,40.71602118,-73.99974372,21140,Subscriber,1962,1
936788,1419,2014-06-30 23:49:33,2014-07-01 00:13:12,392,Jay St & Tech Pl,40.695065,-73.987167,415,Pearl St & Hanover Square,40.7047177,-74.00926027,15270,Subscriber,1989,1
936790,992,2014-06-30 23:49:50,2014-07-01 00:06:22,464,E 56 St & 3 Ave,40.75934501,-73.96759673,477,W 41 St & 8 Ave,40.75640548,-73.9900262,15401,Subscriber,1974,1
936791,908,2014-06-30 23:50:10,2014-07-01 00:05:18,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,450,W 49 St & 8 Ave,40.76227205,-73.98788205,20582,Subscriber,1984,1
936794,2245,2014-06-30 23:50:38,2014-07-01 00:28:03,512,W 29 St & 9 Ave,40.750072700000004,-73.99839279,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,15840,Subscriber,1974,1
936797,1000,2014-06-30 23:50:45,2014-07-01 00:07:25,127,Barrow St & Hudson St,40.73172428,-74.00674436,195,Liberty St & Broadway,40.70905623,-74.01043382,18587,Subscriber,1976,1
936798,1166,2014-06-30 23:50:59,2014-07-01 00:10:25,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,320,Leonard St & Church St,40.717571,-74.005549,21213,Customer,\N,0
936800,806,2014-06-30 23:51:03,2014-07-01 00:04:29,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,18605,Customer,\N,0
936801,850,2014-06-30 23:51:16,2014-07-01 00:05:26,450,W 49 St & 8 Ave,40.76227205,-73.98788205,472,E 32 St & Park Ave,40.745712100000006,-73.98194829,16924,Subscriber,1970,1
936803,1024,2014-06-30 23:51:26,2014-07-01 00:08:30,387,Centre St & Chambers St,40.71273266,-74.0046073,242,Flushing Ave & Carlton Ave,40.69788349,-73.97350332,20295,Subscriber,1987,2
936804,594,2014-06-30 23:51:29,2014-07-01 00:01:23,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,15242,Subscriber,1979,1
936806,547,2014-06-30 23:51:34,2014-07-01 00:00:41,257,Lispenard St & Broadway,40.71939226,-74.00247214,265,Stanton St & Chrystie St,40.72229346,-73.99147535,20964,Subscriber,1976,2
936807,969,2014-06-30 23:51:39,2014-07-01 00:07:48,127,Barrow St & Hudson St,40.73172428,-74.00674436,195,Liberty St & Broadway,40.70905623,-74.01043382,17097,Customer,\N,0
936809,1157,2014-06-30 23:51:50,2014-07-01 00:11:07,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,251,Mott St & Prince St,40.72317958,-73.99480012,16267,Subscriber,1955,1
936812,890,2014-06-30 23:52:24,2014-07-01 00:07:14,318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,280,E 10 St & 5 Ave,40.73331967,-73.99510132,19163,Subscriber,1970,2
936814,935,2014-06-30 23:52:41,2014-07-01 00:08:16,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,2008,Little West St & 1 Pl,40.70569254,-74.01677685,16711,Subscriber,1992,2
936815,1523,2014-06-30 23:52:42,2014-07-01 00:18:05,412,Forsyth St & Canal St,40.715815500000005,-73.99422366,372,Franklin Ave & Myrtle Ave,40.694528000000005,-73.958089,15432,Subscriber,1986,1
936816,1517,2014-06-30 23:52:50,2014-07-01 00:18:07,412,Forsyth St & Canal St,40.715815500000005,-73.99422366,372,Franklin Ave & Myrtle Ave,40.694528000000005,-73.958089,16600,Subscriber,1987,1
936817,861,2014-06-30 23:53:04,2014-07-01 00:07:25,531,Forsyth St & Broome St,40.71893904,-73.99266288,475,E 16 St & Irving Pl,40.73524276,-73.98758561,17968,Subscriber,1979,1
936818,504,2014-06-30 23:53:06,2014-07-01 00:01:30,474,5 Ave & E 29 St,40.7451677,-73.98683077,174,E 25 St & 1 Ave,40.7381765,-73.97738662,20779,Subscriber,1989,1
936819,789,2014-06-30 23:53:12,2014-07-01 00:06:21,401,Allen St & Rivington St,40.72019576,-73.98997825,377,6 Ave & Canal St,40.72243797,-74.00566443,17181,Subscriber,1983,1
936820,438,2014-06-30 23:53:14,2014-07-01 00:00:32,430,York St & Jay St,40.7014851,-73.98656928,313,Washington Ave & Park Ave,40.69610226,-73.96751037,21254,Subscriber,1982,2
936821,1133,2014-06-30 23:53:14,2014-07-01 00:12:07,3002,South End Ave & Liberty St,40.711512,-74.01575600000001,521,8 Ave & W 31 St,40.75044999,-73.99481051,21079,Subscriber,1969,1
936822,1864,2014-06-30 23:53:19,2014-07-01 00:24:23,280,E 10 St & 5 Ave,40.73331967,-73.99510132,296,Division St & Bowery,40.71413089,-73.99704679999999,19109,Customer,\N,0
936824,967,2014-06-30 23:53:27,2014-07-01 00:09:34,453,W 22 St & 8 Ave,40.74475148,-73.99915362,440,E 45 St & 3 Ave,40.75255434,-73.97282625,21471,Subscriber,1966,1
936825,501,2014-06-30 23:53:29,2014-07-01 00:01:50,483,E 12 St & 3 Ave,40.73223272,-73.98889957,174,E 25 St & 1 Ave,40.7381765,-73.97738662,16395,Subscriber,1987,1
936828,883,2014-06-30 23:53:47,2014-07-01 00:08:30,471,Grand St & Havemeyer St,40.71286844,-73.95698119,307,Canal St & Rutgers St,40.71427487,-73.98990025,18955,Subscriber,1985,1
936829,1176,2014-06-30 23:53:54,2014-07-01 00:13:30,454,E 51 St & 1 Ave,40.75455731,-73.96592976,293,Lafayette St & E 8 St,40.73028666,-73.9907647,15025,Subscriber,1987,2
936830,4145,2014-06-30 23:53:54,2014-07-01 01:02:59,474,5 Ave & E 29 St,40.7451677,-73.98683077,523,W 38 St & 8 Ave,40.75466591,-73.99138152,18877,Subscriber,1980,2
936831,674,2014-06-30 23:53:54,2014-07-01 00:05:08,470,W 20 St & 8 Ave,40.74345335,-74.00004031,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,21054,Subscriber,1976,2
936832,1278,2014-06-30 23:53:55,2014-07-01 00:15:13,223,W 13 St & 7 Ave,40.73781509,-73.99994661,349,Rivington St & Ridge St,40.71850211,-73.98329859,20637,Subscriber,1980,1
936833,1388,2014-06-30 23:53:55,2014-07-01 00:17:03,280,E 10 St & 5 Ave,40.73331967,-73.99510132,308,St James Pl & Oliver St,40.71307916,-73.99851193,21096,Customer,\N,0
936834,546,2014-06-30 23:53:56,2014-07-01 00:03:02,327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,426,West St & Chambers St,40.71754834,-74.01322069,18051,Subscriber,1992,2
936835,1143,2014-06-30 23:53:56,2014-07-01 00:12:59,361,Allen St & Hester St,40.71605866,-73.99190759,314,Cadman Plaza West & Montague St,40.69383,-73.990539,18773,Subscriber,1962,1
936837,918,2014-06-30 23:54:14,2014-07-01 00:09:32,454,E 51 St & 1 Ave,40.75455731,-73.96592976,297,E 15 St & 3 Ave,40.734232,-73.986923,18351,Subscriber,1987,2
936838,332,2014-06-30 23:54:45,2014-07-01 00:00:17,307,Canal St & Rutgers St,40.71427487,-73.98990025,332,Cherry St,40.71219906,-73.97948148,20214,Subscriber,1960,2
936840,321,2014-06-30 23:55:07,2014-07-01 00:00:28,116,W 17 St & 8 Ave,40.74177603,-74.00149746,490,8 Ave & W 33 St,40.751551,-73.993934,16353,Subscriber,1980,1
936841,1349,2014-06-30 23:55:07,2014-07-01 00:17:36,280,E 10 St & 5 Ave,40.73331967,-73.99510132,308,St James Pl & Oliver St,40.71307916,-73.99851193,14714,Customer,\N,0
936843,1533,2014-06-30 23:55:32,2014-07-01 00:21:05,2008,Little West St & 1 Pl,40.70569254,-74.01677685,383,Greenwich Ave & Charles St,40.735238,-74.000271,15611,Subscriber,1984,2
936844,297,2014-06-30 23:55:35,2014-07-01 00:00:32,239,Willoughby St & Fleet St,40.69196566,-73.9813018,262,Washington Park,40.69178232,-73.97372989,14904,Subscriber,1977,2
936845,1639,2014-06-30 23:55:35,2014-07-01 00:22:54,497,E 17 St & Broadway,40.73704984,-73.99009296,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,19348,Subscriber,1988,1
936846,778,2014-06-30 23:55:36,2014-07-01 00:08:34,402,Broadway & E 22 St,40.740343200000005,-73.98955109,402,Broadway & E 22 St,40.740343200000005,-73.98955109,15153,Subscriber,1988,2
936847,1321,2014-06-30 23:55:36,2014-07-01 00:17:37,442,W 27 St & 7 Ave,40.746646999999996,-73.993915,327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,16450,Customer,\N,0
936848,277,2014-06-30 23:55:44,2014-07-01 00:00:21,239,Willoughby St & Fleet St,40.69196566,-73.9813018,262,Washington Park,40.69178232,-73.97372989,17521,Subscriber,1979,1
936849,1314,2014-06-30 23:55:48,2014-07-01 00:17:42,442,W 27 St & 7 Ave,40.746646999999996,-73.993915,327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,21367,Customer,\N,0
936850,376,2014-06-30 23:55:53,2014-07-01 00:02:09,280,E 10 St & 5 Ave,40.73331967,-73.99510132,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,17682,Subscriber,1988,1
936851,317,2014-06-30 23:56:12,2014-07-01 00:01:29,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,167,E 39 St & 3 Ave,40.7489006,-73.97604882,17376,Subscriber,1984,1
936852,454,2014-06-30 23:56:22,2014-07-01 00:03:56,225,W 14 St & The High Line,40.74195138,-74.00803013,458,11 Ave & W 27 St,40.751396,-74.00522600000001,19955,Subscriber,1967,1
936853,684,2014-06-30 23:56:27,2014-07-01 00:07:51,280,E 10 St & 5 Ave,40.73331967,-73.99510132,470,W 20 St & 8 Ave,40.74345335,-74.00004031,18727,Subscriber,1995,2
936854,1304,2014-06-30 23:56:28,2014-07-01 00:18:12,280,E 10 St & 5 Ave,40.73331967,-73.99510132,308,St James Pl & Oliver St,40.71307916,-73.99851193,21577,Customer,\N,0
936855,299,2014-06-30 23:56:34,2014-07-01 00:01:33,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,167,E 39 St & 3 Ave,40.7489006,-73.97604882,17747,Subscriber,1989,1
936856,2140,2014-06-30 23:56:40,2014-07-01 00:32:20,525,W 34 St & 11 Ave,40.75594159,-74.0021163,426,West St & Chambers St,40.71754834,-74.01322069,16500,Customer,\N,0
936857,605,2014-06-30 23:56:50,2014-07-01 00:06:55,348,W Broadway & Spring St,40.72490985,-74.00154702,311,Norfolk St & Broome St,40.7172274,-73.98802084,18728,Subscriber,1985,1
936858,265,2014-06-30 23:56:55,2014-07-01 00:01:20,449,W 52 St & 9 Ave,40.76461837,-73.98789473,515,W 43 St & 10 Ave,40.76009437,-73.99461843,18628,Subscriber,1985,1
936859,812,2014-06-30 23:57:01,2014-07-01 00:10:33,514,12 Ave & W 40 St,40.76087502,-74.00277668,459,W 20 St & 11 Ave,40.746745000000004,-74.007756,18800,Subscriber,1996,1
936860,1083,2014-06-30 23:57:08,2014-07-01 00:15:11,358,Christopher St & Greenwich St,40.73291553,-74.00711384,2012,E 27 St & 1 Ave,40.739445,-73.97680600000001,21474,Subscriber,1992,1
936861,686,2014-06-30 23:57:26,2014-07-01 00:08:52,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,365,Fulton St & Grand Ave,40.68223166,-73.9614583,16303,Subscriber,1986,1
936862,211,2014-06-30 23:57:36,2014-07-01 00:01:07,265,Stanton St & Chrystie St,40.72229346,-73.99147535,412,Forsyth St & Canal St,40.715815500000005,-73.99422366,20935,Subscriber,1979,2
936863,527,2014-06-30 23:57:55,2014-07-01 00:06:42,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,432,E 7 St & Avenue A,40.72621788,-73.98379855,14709,Subscriber,1990,1
936864,713,2014-06-30 23:57:56,2014-07-01 00:09:49,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,17835,Subscriber,1974,1
936865,788,2014-06-30 23:58:15,2014-07-01 00:11:23,285,Broadway & E 14 St,40.73454567,-73.99074142,526,E 33 St & 5 Ave,40.74765947,-73.98490707,15573,Subscriber,1996,1
936866,911,2014-06-30 23:58:20,2014-07-01 00:13:31,375,Mercer St & Bleecker St,40.72679454,-73.99695094,152,Warren St & Church St,40.71473993,-74.00910627,17028,Customer,\N,0
936867,910,2014-06-30 23:58:35,2014-07-01 00:13:45,375,Mercer St & Bleecker St,40.72679454,-73.99695094,152,Warren St & Church St,40.71473993,-74.00910627,21500,Customer,\N,0
936868,140,2014-06-30 23:58:37,2014-07-01 00:00:57,335,Washington Pl & Broadway,40.72903917,-73.99404649,375,Mercer St & Bleecker St,40.72679454,-73.99695094,19221,Subscriber,1976,2
936869,851,2014-06-30 23:58:41,2014-07-01 00:12:52,528,2 Ave & E 31 St,40.74290902,-73.97706058,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,16093,Subscriber,1985,1
936870,698,2014-06-30 23:58:59,2014-07-01 00:10:37,137,E 56 St & Madison Ave,40.761628,-73.972924,422,W 59 St & 10 Ave,40.770513,-73.988038,15969,Subscriber,1978,1
936871,630,2014-06-30 23:58:59,2014-07-01 00:09:29,348,W Broadway & Spring St,40.72490985,-74.00154702,345,W 13 St & 6 Ave,40.73649403,-73.99704374,21028,Subscriber,1955,1
936872,1518,2014-06-30 23:59:03,2014-07-01 00:24:21,311,Norfolk St & Broome St,40.7172274,-73.98802084,311,Norfolk St & Broome St,40.7172274,-73.98802084,20010,Subscriber,1964,2
936873,882,2014-06-30 23:59:08,2014-07-01 00:13:50,238,Bank St & Washington St,40.7361967,-74.00859207,458,11 Ave & W 27 St,40.751396,-74.00522600000001,16805,Subscriber,1992,2
936874,251,2014-06-30 23:59:10,2014-07-01 00:03:21,463,9 Ave & W 16 St,40.74206539,-74.00443172,334,W 20 St & 7 Ave,40.74238787,-73.99726235,19302,Subscriber,1971,1
936875,1123,2014-06-30 23:59:18,2014-07-01 00:18:01,488,W 39 St & 9 Ave,40.75645824,-73.99372222,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,17303,Subscriber,1980,1
936876,608,2014-06-30 23:59:22,2014-07-01 00:09:30,308,St James Pl & Oliver St,40.71307916,-73.99851193,426,West St & Chambers St,40.71754834,-74.01322069,19456,Subscriber,1979,2
936877,336,2014-06-30 23:59:30,2014-07-01 00:05:06,529,W 42 St & 8 Ave,40.75756989999999,-73.99098507,449,W 52 St & 9 Ave,40.76461837,-73.98789473,21109,Subscriber,1979,1
936878,1299,2014-06-30 23:59:50,2014-07-01 00:21:29,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,20636,Subscriber,1988,1
936879,312,2014-06-30 23:59:50,2014-07-01 00:05:02,263,Elizabeth St & Hester St,40.717290000000006,-73.996375,250,Lafayette St & Jersey St,40.72456089,-73.99565293,20951,Subscriber,1970,1
